step: 0.1
x | analytic euler taylor simpson
0.0 | 0.1000000000; 0.1000000000; 0.1000000000; 0.1000000000;
0.1 | 0.1343126359; 0.1420000000; 0.1338848000; 0.1343056690;
0.2 | 0.1462284589; 0.1675600000; 0.1450336551; 0.1462333606;
0.3 | 0.1370259311; 0.1675600000; 0.1356064675; 0.1368884703;
0.4 | 0.1173510871; 0.1474528000; 0.1162570519; 0.1172935899;
0.5 | 0.0975309912; 0.1209112960; 0.0968337537; 0.0974174244;
0.6 | 0.0835270211; 0.0991472627; 0.0830376551; 0.0835344160;
0.7 | 0.0782704538; 0.0872495912; 0.0777657605; 0.0782068724;
0.8 | 0.0852143789; 0.0872495912; 0.0843758501; 0.0853117440;
0.9 | 0.1144536784; 0.1029545176; 0.1123103316; 0.1147461523;
1.0 | 0.2013752707; 0.1461954150; 0.1934262439; 0.2035372289;


step: 0.05
x | analytic euler taylor simpson
0.00 | 0.1000000000; 0.1000000000; 0.1000000000; 0.1000000000;
0.05 | 0.1194228058; 0.1210000000; 0.1194006000; 0.1194225304;
0.10 | 0.1343126359; 0.1386962500; 0.1342454843; 0.1343169004;
0.15 | 0.1433329415; 0.1511789125; 0.1432142909; 0.1433332388;
0.20 | 0.1462284589; 0.1574150426; 0.1460691753; 0.1462297356;
0.25 | 0.1436917221; 0.1574150426; 0.1435129648; 0.1436875855;
0.30 | 0.1370259311; 0.1521022850; 0.1368495680; 0.1370233277;
0.35 | 0.1277621313; 0.1429761479; 0.1276038743; 0.1277556482;
0.40 | 0.1173510871; 0.1317167762; 0.1172181963; 0.1173480758;
0.45 | 0.1069830260; 0.1198622664; 0.1068755660; 0.1069772541;
0.50 | 0.0975309912; 0.1086251789; 0.0974445670; 0.0975295891;
0.55 | 0.0895834135; 0.0988489128; 0.0895117023; 0.0895792100;
0.60 | 0.0835270211; 0.0910645609; 0.0834632856; 0.0835273376;
0.65 | 0.0796522421; 0.0856006872; 0.0795896711; 0.0796495117;
0.70 | 0.0782704538; 0.0827116641; 0.0782013784; 0.0782725628;
0.75 | 0.0798516219; 0.0827116641; 0.0797654060; 0.0798514116;
0.80 | 0.0852143789; 0.0861235202; 0.0850929857; 0.0852210211;
0.85 | 0.0958390466; 0.0938746370; 0.0956474091; 0.0958485057;
0.90 | 0.1144536784; 0.1076038027; 0.1141172480; 0.1144818391;
0.95 | 0.1462284589; 0.1302006012; 0.1455772050; 0.1462907976;
1.00 | 0.2013752707; 0.1668195203; 0.1999947710; 0.2015393374;


step: 0.01
x | analytic euler taylor simpson
0.00 | 0.1000000000; 0.1000000000; 0.1000000000; 0.1000000000;
0.01 | 0.1041497936; 0.1042000000; 0.1041497648; 0.1041497935;
0.02 | 0.1081858072; 0.1082981860; 0.1081857399; 0.1081858095;
0.03 | 0.1120886623; 0.1122748954; 0.1120885472; 0.1120886644;
0.04 | 0.1158400298; 0.1161113286; 0.1158398583; 0.1158400341;
0.05 | 0.1194228058; 0.1197897355; 0.1194225701; 0.1194228097;
0.06 | 0.1228212672; 0.1232935852; 0.1228209605; 0.1228212730;
0.07 | 0.1260212049; 0.1266077168; 0.1260208217; 0.1260212103;
0.08 | 0.1290100342; 0.1297184684; 0.1290095699; 0.1290100412;
0.09 | 0.1317768796; 0.1326137846; 0.1317763310; 0.1317768857;
0.10 | 0.1343126359; 0.1352833001; 0.1343120011; 0.1343126434;
0.11 | 0.1366100048; 0.1377183995; 0.1366092832; 0.1366100112;
0.12 | 0.1386635071; 0.1399122536; 0.1386626994; 0.1386635146;
0.13 | 0.1404694723; 0.1418598322; 0.1404685803; 0.1404694784;
0.14 | 0.1420260066; 0.1435578944; 0.1420250333; 0.1420260136;
0.15 | 0.1433329415; 0.1450049579; 0.1433318907; 0.1433329469;
0.16 | 0.1443917636; 0.1462012488; 0.1443906404; 0.1443917696;
0.17 | 0.1452055298; 0.1471486329; 0.1452043398; 0.1452055342;
0.18 | 0.1457787682; 0.1478505319; 0.1457775177; 0.1457787730;
0.19 | 0.1461173675; 0.1483118256; 0.1461160634; 0.1461173705;
0.20 | 0.1462284589; 0.1485387427; 0.1462271083; 0.1462284623;
0.21 | 0.1461202899; 0.1485387427; 0.1461189002; 0.1461202914;
0.22 | 0.1458020946; 0.1483203907; 0.1458006735; 0.1458020965;
0.23 | 0.1452839620; 0.1478932280; 0.1452825169; 0.1452839621;
0.24 | 0.1445767034; 0.1472676396; 0.1445752417; 0.1445767038;
0.25 | 0.1436917221; 0.1464547223; 0.1436902511; 0.1436917208;
0.26 | 0.1426408861; 0.1454661529; 0.1426394127; 0.1426408853;
0.27 | 0.1414364056; 0.1443140609; 0.1414349362; 0.1414364031;
0.28 | 0.1400907163; 0.1430109050; 0.1400892569; 0.1400907143;
0.29 | 0.1386163695; 0.1415693551; 0.1386149258; 0.1386163659;
0.30 | 0.1370259311; 0.1400021823; 0.1370245081; 0.1370259282;
0.31 | 0.1353318873; 0.1383221561; 0.1353304894; 0.1353318829;
0.32 | 0.1335465607; 0.1365419500; 0.1335451918; 0.1335465571;
0.33 | 0.1316820343; 0.1346740561; 0.1316806979; 0.1316820293;
0.34 | 0.1297500861; 0.1327307095; 0.1297487849; 0.1297500821;
0.35 | 0.1277621313; 0.1307238211; 0.1277608675; 0.1277621260;
0.36 | 0.1257291746; 0.1286649209; 0.1257279500; 0.1257291704;
0.37 | 0.1236617711; 0.1265651094; 0.1236605869; 0.1236617655;
0.38 | 0.1215699948; 0.1244350186; 0.1215688519; 0.1215699905;
0.39 | 0.1194634164; 0.1222847815; 0.1194623151; 0.1194634110;
0.40 | 0.1173510871; 0.1201240094; 0.1173500273; 0.1173510829;
0.41 | 0.1152415299; 0.1179617773; 0.1152405113; 0.1152415246;
0.42 | 0.1131427376; 0.1158066156; 0.1131417594; 0.1131427336;
0.43 | 0.1110621757; 0.1136665093; 0.1110612371; 0.1110621707;
0.44 | 0.1090067913; 0.1115489023; 0.1090058910; 0.1090067877;
0.45 | 0.1069830260; 0.1094607068; 0.1069821626; 0.1069830213;
0.46 | 0.1049968328; 0.1074083186; 0.1049960048; 0.1049968296;
0.47 | 0.1030536974; 0.1053976348; 0.1030529030; 0.1030536931;
0.48 | 0.1011586611; 0.1034340769; 0.1011578985; 0.1011586583;
0.49 | 0.0993163476; 0.1015226152; 0.0993156149; 0.0993163438;
0.50 | 0.0975309912; 0.0996677970; 0.0975302864; 0.0975309889;
0.51 | 0.0958064668; 0.0978737766; 0.0958057878; 0.0958064635;
0.52 | 0.0941463217; 0.0961443470; 0.0941456665; 0.0941463199;
0.53 | 0.0925538082; 0.0944829727; 0.0925531747; 0.0925538053;
0.54 | 0.0910319174; 0.0928928243; 0.0910313035; 0.0910319161;
0.55 | 0.0895834135; 0.0913768134; 0.0895828171; 0.0895834111;
0.56 | 0.0882108689; 0.0899376286; 0.0882102878; 0.0882108681;
0.57 | 0.0869166998; 0.0885777716; 0.0869161319; 0.0869166978;
0.58 | 0.0857032018; 0.0872995944; 0.0857026451; 0.0857032014;
0.59 | 0.0845725872; 0.0861053359; 0.0845720395; 0.0845725857;
0.60 | 0.0835270211; 0.0849971602; 0.0835264802; 0.0835270212;
0.61 | 0.0825686597; 0.0839771943; 0.0825681235; 0.0825686586;
0.62 | 0.0816996882; 0.0830475668; 0.0816991545; 0.0816996887;
0.63 | 0.0809223608; 0.0822104473; 0.0809218272; 0.0809223601;
0.64 | 0.0802390405; 0.0814680870; 0.0802385048; 0.0802390415;
0.65 | 0.0796522421; 0.0808228597; 0.0796517018; 0.0796522420;
0.66 | 0.0791646757; 0.0802773054; 0.0791641283; 0.0791646772;
0.67 | 0.0787792932; 0.0798341747; 0.0787787359; 0.0787792936;
0.68 | 0.0784993376; 0.0794964761; 0.0784987674; 0.0784993396;
0.69 | 0.0783283954; 0.0792675263; 0.0783278094; 0.0783283964;
0.70 | 0.0782704538; 0.0791510030; 0.0782698485; 0.0782704566;
0.71 | 0.0783299620; 0.0791510030; 0.0783293336; 0.0783299638;
0.72 | 0.0785118985; 0.0792721040; 0.0785112428; 0.0785119021;
0.73 | 0.0788218455; 0.0795194330; 0.0788211581; 0.0788218483;
0.74 | 0.0792660714; 0.0798987407; 0.0792653469; 0.0792660762;
0.75 | 0.0798516219; 0.0804164845; 0.0798508545; 0.0798516259;
0.76 | 0.0805864230; 0.0810799205; 0.0805856061; 0.0805864292;
0.77 | 0.0814793966; 0.0818972061; 0.0814785227; 0.0814794023;
